Delegación,semana,mes,medicion
Xochimilco,20,5,7.83
Gustavo A. Madero,20,5,5.68
Miguel Hidalgo,21,5,86.58
Gustavo A. Madero,21,5,5.37
Tlalpan,21,5,31.93
Cuauhtémoc,21,5,22.41
Tlalnepantla,21,5,25.02
Ecatepec,21,5,11.67
Cuajimalpa,21,5,46.36
Miguel Hidalgo,21,5,86.73
Nezahualcóyotl,21,5,9.21
Texcoco,21,5,3.99
Tlalpan,21,5,51.58
Tlalpan,21,5,111.45
Milpa Alta,21,5,11.05
Magdalena Contreras,21,5,30.09
Xochimilco,21,5,11.05
Gustavo A. Madero,21,5,19.96
Miguel Hidalgo,22,5,52.96
Gustavo A. Madero,22,5,17.65
Tlalpan,22,5,15.2
Cuauhtémoc,22,5,28.09
Tlalnepantla,22,5,24.41
Ecatepec,22,5,13.82
Cuajimalpa,22,5,84.27
Miguel Hidalgo,22,5,45.44
Nezahualcóyotl,22,5,70.77
Texcoco,22,5,23.03
Tlalpan,22,5,30.39
Milpa Alta,22,5,49.58
Magdalena Contreras,22,5,51.89
Xochimilco,22,5,36.07
Gustavo A. Madero,22,5,28.71
Miguel Hidalgo,23,6,64.63
Gustavo A. Madero,23,6,16.43
Tlalpan,23,6,44.82
Cuauhtémoc,23,6,30.7
Tlalnepantla,23,6,60.63
Ecatepec,23,6,28.86
Cuajimalpa,23,6,66.62
Miguel Hidalgo,23,6,31.47
Nezahualcóyotl,23,6,12.43
Texcoco,23,6,13.51
Tlalpan,23,6,60.79
Milpa Alta,23,6,15.04
Magdalena Contreras,23,6,58.79
Xochimilco,23,6,27.78
Gustavo A. Madero,23,6,22.87
Miguel Hidalgo,24,6,36.23
Gustavo A. Madero,24,6,21.95
Tlalpan,24,6,9.21
Cuauhtémoc,24,6,39.14
Tlalnepantla,24,6,56.8
Ecatepec,24,6,27.17
Cuajimalpa,24,6,29.78
Miguel Hidalgo,24,6,71.23
Nezahualcóyotl,24,6,1.38
Texcoco,24,6,9.82
Tlalpan,24,6,4.61
Tlalpan,24,6,34.85
Milpa Alta,24,6,34.23
Xochimilco,24,6,26.4
Gustavo A. Madero,24,6,10.28
Miguel Hidalgo,25,6,137.54
Gustavo A. Madero,25,6,111.29
Tlalpan,25,6,54.96
Cuauhtémoc,25,6,115.9
Tlalnepantla,25,6,142.3
Ecatepec,25,6,109.14
Cuajimalpa,25,6,79.06
Miguel Hidalgo,25,6,145.98
Nezahualcóyotl,25,6,98.55
Texcoco,25,6,76.14
Tlalpan,25,6,66.47
Tlalpan,25,6,77.21
Milpa Alta,25,6,54.8
Xochimilco,25,6,38.68
Gustavo A. Madero,25,6,109.6
Miguel Hidalgo,26,6,33.46
Gustavo A. Madero,26,6,110.83
Tlalpan,26,6,28.71
Cuauhtémoc,26,6,58.33
Tlalnepantla,26,6,65.85
Ecatepec,26,6,74.14
Cuajimalpa,26,6,46.05
Miguel Hidalgo,26,6,31.47
Nezahualcóyotl,26,6,34.85
Texcoco,26,6,18.27
Tlalpan,26,6,48.2
Tlalpan,26,6,37.92
Milpa Alta,26,6,29.78
Magdalena Contreras,26,6,31.93
Xochimilco,26,6,48.66
Gustavo A. Madero,26,6,173.46
Miguel Hidalgo,27,6,55.88
Gustavo A. Madero,27,6,52.04
Tlalpan,27,6,84.74
Cuauhtémoc,27,6,53.42
Tlalnepantla,27,6,60.33
Ecatepec,27,6,53.73
Cuajimalpa,27,6,65.7
Miguel Hidalgo,27,6,65.55
Nezahualcóyotl,27,6,46.67
Texcoco,27,6,96.71
Tlalpan,27,6,73.53
Tlalpan,27,6,83.35
Milpa Alta,27,6,34.23
Magdalena Contreras,27,6,88.57
Xochimilco,27,6,31.16
Gustavo A. Madero,27,6,44.06
Miguel Hidalgo,28,7,54.03
Gustavo A. Madero,28,7,50.66
Tlalpan,28,7,13.51
Cuauhtémoc,28,7,24.41
Tlalnepantla,28,7,36.38
Ecatepec,28,7,36.53
Cuajimalpa,28,7,48.35
Miguel Hidalgo,28,7,30.39
Texcoco,28,7,27.94
Tlalpan,28,7,58.49
Tlalpan,28,7,20.42
Milpa Alta,28,7,15.66
Magdalena Contreras,28,7,57.26
Xochimilco,28,7,25.79
Gustavo A. Madero,29,7,92.87
Tlalpan,29,7,8.44
Cuauhtémoc,29,7,55.57
Tlalnepantla,29,7,26.4
Ecatepec,29,7,73.68
Cuajimalpa,29,7,9.67
Miguel Hidalgo,29,7,40.22
Tlalpan,29,7,31.47
Tlalpan,29,7,23.33
Milpa Alta,29,7,15.81
Magdalena Contreras,29,7,44.21
Gustavo A. Madero,29,7,84.89
Gustavo A. Madero,30,7,10.75
Tlalpan,30,7,41.14
Cuauhtémoc,30,7,22.57
Tlalnepantla,30,7,30.24
Ecatepec,30,7,3.22
Cuajimalpa,30,7,62.02
Miguel Hidalgo,30,7,10.9
Nezahualcóyotl,30,7,28.71
Tlalpan,30,7,56.34
Tlalpan,30,7,26.86
Milpa Alta,30,7,38.07
Magdalena Contreras,30,7,62.02
Gustavo A. Madero,30,7,10.28
Miguel Hidalgo,31,7,13.36
Gustavo A. Madero,31,7,3.53
Tlalpan,31,7,9.82
Cuauhtémoc,31,7,0.84
Tlalnepantla,31,7,18.73
Ecatepec,31,7,33.62
Cuajimalpa,31,7,27.63
Miguel Hidalgo,31,7,2.15
Nezahualcóyotl,31,7,6.45
Tlalpan,31,7,20.57
Tlalpan,31,7,18.11
Milpa Alta,31,7,4.61
Magdalena Contreras,31,7,24.41
Xochimilco,31,7,2.76
Gustavo A. Madero,31,7,5.37
Miguel Hidalgo,32,8,63.24
Gustavo A. Madero,32,8,19.8
Tlalpan,32,8,80.28
Cuauhtémoc,32,8,56.95
Tlalnepantla,32,8,13.82
Ecatepec,32,8,22.87
Cuajimalpa,32,8,94.87
Miguel Hidalgo,32,8,29.17
Texcoco,32,8,35.92
Tlalpan,32,8,52.19
Tlalpan,32,8,55.72
Milpa Alta,32,8,19.96
Magdalena Contreras,32,8,44.98
Xochimilco,32,8,28.25
Gustavo A. Madero,32,8,21.64
Miguel Hidalgo,33,8,98.09
Gustavo A. Madero,33,8,61.71
Tlalpan,33,8,36.07
Cuauhtémoc,33,8,46.36
Tlalnepantla,33,8,55.57
Ecatepec,33,8,9.98
Cuajimalpa,33,8,42.98
Miguel Hidalgo,33,8,108.38
Nezahualcóyotl,33,8,68.77
Texcoco,33,8,41.14
Tlalpan,33,8,25.79
Tlalpan,33,8,28.71
Milpa Alta,33,8,23.95
Magdalena Contreras,33,8,37.92
Xochimilco,33,8,32.24
Gustavo A. Madero,33,8,57.41
Miguel Hidalgo,34,8,35.92
Gustavo A. Madero,34,8,32.54
Tlalpan,34,8,29.01
Cuauhtémoc,34,8,22.57
Tlalnepantla,34,8,29.63
Ecatepec,34,8,37.46
Cuajimalpa,34,8,38.84
Miguel Hidalgo,34,8,18.73
Nezahualcóyotl,34,8,32.7
Texcoco,34,8,23.49
Tlalpan,34,8,18.42
Tlalpan,34,8,31.78
Milpa Alta,34,8,3.38
Magdalena Contreras,34,8,29.17
Xochimilco,34,8,8.9
Gustavo A. Madero,34,8,30.7
Miguel Hidalgo,35,8,161.49
Gustavo A. Madero,35,8,13.36
Tlalpan,35,8,68.92
Cuauhtémoc,35,8,64.93
Tlalnepantla,35,8,35.77
Ecatepec,35,8,7.21
Cuajimalpa,35,8,85.35
Miguel Hidalgo,35,8,152.28
Nezahualcóyotl,35,8,11.05
Texcoco,35,8,1.07
Tlalpan,35,8,73.22
Tlalpan,35,8,70.92
Milpa Alta,35,8,33.31
Magdalena Contreras,35,8,70.61
Xochimilco,35,8,21.34
Gustavo A. Madero,35,8,22.26
Miguel Hidalgo,36,9,53.27
Gustavo A. Madero,36,9,36.69
Tlalpan,36,9,14.12
Cuauhtémoc,36,9,40.99
Ecatepec,36,9,41.14
Cuajimalpa,36,9,65.55
Miguel Hidalgo,36,9,46.51
Nezahualcóyotl,36,9,34.23
Texcoco,36,9,16.89
Tlalpan,36,9,28.71
Tlalpan,36,9,43.14
Milpa Alta,36,9,12.59
Magdalena Contreras,36,9,44.82
Xochimilco,36,9,11.05
Gustavo A. Madero,36,9,38.99
Miguel Hidalgo,37,9,37.76
Gustavo A. Madero,37,9,54.03
Tlalpan,37,9,36.53
Cuauhtémoc,37,9,16.43
Tlalnepantla,37,9,39.3
Ecatepec,37,9,19.5
Cuajimalpa,37,9,35.92
Miguel Hidalgo,37,9,14.58
Texcoco,37,9,24.25
Tlalpan,37,9,48.66
Tlalpan,37,9,29.63
Milpa Alta,37,9,55.26
Magdalena Contreras,37,9,48.2
Xochimilco,37,9,33.31
Gustavo A. Madero,37,9,81.05
Miguel Hidalgo,38,9,40.22
Gustavo A. Madero,38,9,3.07
Tlalpan,38,9,14.28
Cuauhtémoc,38,9,15.5
Tlalnepantla,38,9,8.9
Ecatepec,38,9,8.29
Cuajimalpa,38,9,87.04
Miguel Hidalgo,38,9,19.03
Texcoco,38,9,12.13
Tlalpan,38,9,19.19
Tlalpan,38,9,53.88
Milpa Alta,38,9,2.92
Magdalena Contreras,38,9,35.15
Xochimilco,38,9,18.11
Gustavo A. Madero,38,9,2.15
Miguel Hidalgo,39,9,39.76
Gustavo A. Madero,39,9,19.03
Tlalpan,39,9,33.16
Cuauhtémoc,39,9,18.73
Tlalnepantla,39,9,39.45
Ecatepec,39,9,9.67
Cuajimalpa,39,9,66.47
Miguel Hidalgo,39,9,52.81
Nezahualcóyotl,39,9,24.71
Texcoco,39,9,13.36
Tlalpan,39,9,91.64
Tlalpan,39,9,77.06
Milpa Alta,39,9,67.54
Magdalena Contreras,39,9,123.11
Xochimilco,39,9,43.6
Gustavo A. Madero,39,9,11.67
Miguel Hidalgo,40,9,107.76
Gustavo A. Madero,40,9,86.27
Tlalpan,40,9,70
Cuauhtémoc,40,9,102.54
Tlalnepantla,40,9,69.38
Ecatepec,40,9,52.65
Cuajimalpa,40,9,8.75
Miguel Hidalgo,40,9,114.67
Nezahualcóyotl,40,9,85.04
Texcoco,40,9,70.77
Tlalpan,40,9,45.44
Tlalpan,40,9,75.83
Milpa Alta,40,9,53.88
Magdalena Contreras,40,9,68.92
Xochimilco,40,9,35.31
Gustavo A. Madero,40,9,87.19
Miguel Hidalgo,41,10,36.53
Gustavo A. Madero,41,10,71.23
Tlalpan,41,10,13.2
Cuauhtémoc,41,10,49.28
Tlalnepantla,41,10,37.61
Ecatepec,41,10,41.45
Cuajimalpa,41,10,8.29
Miguel Hidalgo,41,10,34.85
Nezahualcóyotl,41,10,24.25
Texcoco,41,10,64.17
Tlalpan,41,10,14.89
Tlalpan,41,10,2.15
Milpa Alta,41,10,30.85
Magdalena Contreras,41,10,12.59
Xochimilco,41,10,5.68
Gustavo A. Madero,41,10,55.11
Miguel Hidalgo,42,10,34.08
Gustavo A. Madero,42,10,19.96
Tlalpan,42,10,58.33
Cuauhtémoc,42,10,42.21
Tlalnepantla,42,10,30.7
Ecatepec,42,10,5.07
Cuajimalpa,42,10,74.14
Miguel Hidalgo,42,10,25.64
Nezahualcóyotl,42,10,23.79
Texcoco,42,10,10.13
Tlalpan,42,10,71.07
Tlalpan,42,10,77.21
Milpa Alta,42,10,21.49
Magdalena Contreras,42,10,121.42
Xochimilco,42,10,22.72
Gustavo A. Madero,42,10,13.51
Miguel Hidalgo,43,10,0.52
Gustavo A. Madero,43,10,9.82
Tlalpan,43,10,0.45
Cuauhtémoc,43,10,0.68
Ecatepec,43,10,12.74
Nezahualcóyotl,43,10,5.22
Texcoco,43,10,5.68
Tlalpan,43,10,1.69
Milpa Alta,43,10,0.71
Magdalena Contreras,43,10,2.3
Xochimilco,43,10,0.6
Gustavo A. Madero,43,10,13.36
Miguel Hidalgo,17,4,3.3
Gustavo A. Madero,17,4,2.9
Tlalpan,17,4,0.4
Cuauhtémoc,17,4,12.2
Tlalnepantla,17,4,0.5
Ecatepec,17,4,2.5
Cuajimalpa,17,4,7.1
Miguel Hidalgo,17,4,3.9
Nezahualcóyotl,17,4,13.7
Tlalpan,17,4,1.5
Tlalpan,17,4,1.3
Milpa Alta,17,4,26.2
Magdalena Contreras,17,4,7.4
Xochimilco,17,4,7.7
Gustavo A. Madero,17,4,3.1
Miguel Hidalgo,18,4,3.6
Tlalpan,18,4,8.4
Cuauhtémoc,18,4,0.3
Tlalnepantla,18,4,5.4
Ecatepec,18,4,1
Cuajimalpa,18,4,6.3
Miguel Hidalgo,18,4,0.9
Tlalpan,18,4,4.9
Tlalpan,18,4,8.6
Milpa Alta,18,4,6.8
Magdalena Contreras,18,4,1.4
Xochimilco,18,4,8.4
Cuauhtémoc,23,6,22.9
Milpa Alta,23,6,1.4
Xochimilco,23,6,2.8
Miguel Hidalgo,20,5,4.9
Gustavo A. Madero,20,5,20.2
Tlalpan,20,5,9.4
Cuauhtémoc,20,5,6.5
Tlalnepantla,20,5,12.9
Ecatepec,20,5,10.1
Cuajimalpa,20,5,8.5
Miguel Hidalgo,20,5,6.6
Nezahualcóyotl,20,5,11.9
Texcoco,20,5,11.1
Tlalpan,20,5,9.4
Tlalpan,20,5,4.1
Milpa Alta,20,5,17.2
Magdalena Contreras,20,5,11.8
Xochimilco,20,5,27.9
Gustavo A. Madero,20,5,14.8
Miguel Hidalgo,21,5,8.1
Gustavo A. Madero,21,5,1.2
Tlalpan,21,5,7.9
Cuauhtémoc,21,5,2
Tlalnepantla,21,5,2.7
Cuajimalpa,21,5,29.4
Miguel Hidalgo,21,5,3.3
Nezahualcóyotl,21,5,2.4
Texcoco,21,5,11.5
Tlalpan,21,5,10.7
Tlalpan,21,5,60.2
Milpa Alta,21,5,7.5
Magdalena Contreras,21,5,21.9
Xochimilco,21,5,7.1
Gustavo A. Madero,21,5,1.5
Miguel Hidalgo,22,5,7.9
Gustavo A. Madero,22,5,7
Tlalpan,22,5,8.6
Cuauhtémoc,22,5,29.2
Ecatepec,22,5,2.8
Cuajimalpa,22,5,11.6
Miguel Hidalgo,22,5,5.6
Nezahualcóyotl,22,5,3.2
Texcoco,22,5,22.1
Tlalpan,22,5,12.4
Tlalpan,22,5,17.5
Milpa Alta,22,5,18
Magdalena Contreras,22,5,21.8
Xochimilco,22,5,31.9
Gustavo A. Madero,22,5,1.8
Miguel Hidalgo,10,3,63.8
Gustavo A. Madero,10,3,50.8
Tlalpan,10,3,60.2
Cuauhtémoc,10,3,41.4
Tlalnepantla,10,3,27.6
Ecatepec,10,3,51.9
Cuajimalpa,10,3,43.5
Miguel Hidalgo,10,3,63.1
Nezahualcóyotl,10,3,64.8
Texcoco,10,3,44.5
Tlalpan,10,3,59.7
Tlalpan,10,3,51.6
Milpa Alta,10,3,31.9
Magdalena Contreras,10,3,61.5
Xochimilco,10,3,16.6
Gustavo A. Madero,10,3,75.9
Miguel Hidalgo,40,10,11.7
Gustavo A. Madero,40,10,3.4
Tlalpan,40,10,44.7
Cuauhtémoc,40,10,17.8
Tlalnepantla,40,10,25.7
Ecatepec,40,10,47.1
Cuajimalpa,40,10,18.7
Miguel Hidalgo,40,10,13.7
Nezahualcóyotl,40,10,14.2
Texcoco,40,10,22
Tlalpan,40,10,17.8
Tlalpan,40,10,3.7
Milpa Alta,40,10,17.2
Magdalena Contreras,40,10,29.5
Xochimilco,40,10,18.8
Gustavo A. Madero,40,10,21.3
Miguel Hidalgo,25,6,31
Gustavo A. Madero,25,6,66.1
Tlalpan,25,6,47.5
Cuauhtémoc,25,6,67.8
Tlalnepantla,25,6,37.5
Ecatepec,25,6,171.9
Cuajimalpa,25,6,71.7
Miguel Hidalgo,25,6,39.9
Nezahualcóyotl,25,6,40.4
Texcoco,25,6,26
Tlalpan,25,6,42.3
Tlalpan,25,6,59.4
Milpa Alta,25,6,24.3
Magdalena Contreras,25,6,51.3
Xochimilco,25,6,42.9
Gustavo A. Madero,25,6,44.6
Miguel Hidalgo,26,6,18.8
Gustavo A. Madero,26,6,30.2
Tlalpan,26,6,23.6
Cuauhtémoc,26,6,29.2
Tlalnepantla,26,6,10.5
Ecatepec,26,6,29.5
Cuajimalpa,26,6,57.6
Miguel Hidalgo,26,6,14.2
Nezahualcóyotl,26,6,41.7
Texcoco,26,6,54.1
Tlalpan,26,6,33.3
Tlalpan,26,6,41.4
Milpa Alta,26,6,31.9
Magdalena Contreras,26,6,38.4
Xochimilco,26,6,36.9
Gustavo A. Madero,26,6,21.9
Miguel Hidalgo,2,1,65.5
Gustavo A. Madero,2,1,17.1
Tlalpan,2,1,17.3
Cuauhtémoc,2,1,35.3
Tlalnepantla,2,1,47.7
Ecatepec,2,1,17.7
Cuajimalpa,2,1,38.8
Miguel Hidalgo,2,1,44.8
Nezahualcóyotl,2,1,16.4
Texcoco,2,1,5.8
Tlalpan,2,1,28.5
Tlalpan,2,1,30.5
Milpa Alta,2,1,32.4
Magdalena Contreras,2,1,40.6
Xochimilco,2,1,9.2
Gustavo A. Madero,2,1,25.1
Miguel Hidalgo,32,8,83.3
Gustavo A. Madero,32,8,27.3
Tlalpan,32,8,82
Cuauhtémoc,32,8,44.7
Tlalnepantla,32,8,93.9
Ecatepec,32,8,57.9
Cuajimalpa,32,8,48.3
Miguel Hidalgo,32,8,54.1
Nezahualcóyotl,32,8,37.6
Texcoco,32,8,9.3
Tlalpan,32,8,26.8
Tlalpan,32,8,129
Milpa Alta,32,8,10.3
Magdalena Contreras,32,8,30.9
Xochimilco,32,8,16.6
Gustavo A. Madero,32,8,17.2
Miguel Hidalgo,29,7,132.3
Gustavo A. Madero,29,7,60.5
Tlalpan,29,7,107.4
Cuauhtémoc,29,7,40.2
Tlalnepantla,29,7,30.1
Ecatepec,29,7,51.1
Cuajimalpa,29,7,43
Miguel Hidalgo,29,7,52.3
Nezahualcóyotl,29,7,19.6
Texcoco,29,7,11.1
Tlalpan,29,7,66.3
Tlalpan,29,7,15.5
Milpa Alta,29,7,20.9
Magdalena Contreras,29,7,35.8
Xochimilco,29,7,30.4
Gustavo A. Madero,29,7,40
Miguel Hidalgo,30,7,122.6
Gustavo A. Madero,30,7,20.5
Tlalpan,30,7,35.3
Cuauhtémoc,30,7,90.3
Tlalnepantla,30,7,75.5
Ecatepec,30,7,28.7
Cuajimalpa,30,7,77.9
Miguel Hidalgo,30,7,100.6
Nezahualcóyotl,30,7,67.1
Texcoco,30,7,18.9
Tlalpan,30,7,56.7
Tlalpan,30,7,53.3
Milpa Alta,30,7,22.7
Magdalena Contreras,30,7,73.1
Xochimilco,30,7,24.5
Gustavo A. Madero,30,7,40.9
Miguel Hidalgo,31,7,36.1
Gustavo A. Madero,31,7,11.2
Tlalpan,31,7,58.2
Cuauhtémoc,31,7,34.7
Tlalnepantla,31,7,25.1
Ecatepec,31,7,9.5
Cuajimalpa,31,7,46.9
Miguel Hidalgo,31,7,25.1
Nezahualcóyotl,31,7,27.9
Texcoco,31,7,10.7
Tlalpan,31,7,44.2
Tlalpan,31,7,60.7
Milpa Alta,31,7,80.6
Magdalena Contreras,31,7,68.2
Xochimilco,31,7,29.9
Gustavo A. Madero,31,7,25.6
Miguel Hidalgo,19,5,57.4
Gustavo A. Madero,19,5,62
Tlalpan,19,5,72.9
Cuauhtémoc,19,5,33.2
Tlalnepantla,19,5,42.9
Ecatepec,19,5,16.7
Cuajimalpa,19,5,78.3
Miguel Hidalgo,19,5,52.6
Nezahualcóyotl,19,5,66
Texcoco,19,5,0.2
Tlalpan,19,5,68.4
Tlalpan,19,5,67.8
Milpa Alta,19,5,5.5
Magdalena Contreras,19,5,59.7
Xochimilco,19,5,10.1
Gustavo A. Madero,19,5,66.8
Miguel Hidalgo,49,12,22.4
Gustavo A. Madero,49,12,0.2
Tlalpan,49,12,38.5
Tlalnepantla,49,12,3.5
Ecatepec,49,12,1.8
Cuajimalpa,49,12,55.3
Miguel Hidalgo,49,12,8
Nezahualcóyotl,49,12,2.5
Texcoco,49,12,1.4
Tlalpan,49,12,65.2
Tlalpan,49,12,14.9
Milpa Alta,49,12,0.8
Magdalena Contreras,49,12,95.3
Xochimilco,49,12,1.4
Gustavo A. Madero,49,12,0.3
Miguel Hidalgo,34,8,15
Gustavo A. Madero,34,8,14.1
Tlalpan,34,8,33.5
Cuauhtémoc,34,8,11.8
Tlalnepantla,34,8,37.5
Ecatepec,34,8,3
Cuajimalpa,34,8,66.5
Miguel Hidalgo,34,8,21.1
Nezahualcóyotl,34,8,21.3
Texcoco,34,8,0.8
Tlalpan,34,8,41.1
Tlalpan,34,8,30.2
Milpa Alta,34,8,27.9
Magdalena Contreras,34,8,65.5
Xochimilco,34,8,18.3
Gustavo A. Madero,34,8,9.6
Miguel Hidalgo,35,8,3.1
Gustavo A. Madero,35,8,0.2
Tlalpan,35,8,21.8
Tlalnepantla,35,8,9.9
Cuajimalpa,35,8,21.9
Miguel Hidalgo,35,8,3.3
Nezahualcóyotl,35,8,2
Texcoco,35,8,8.3
Tlalpan,35,8,28.8
Tlalpan,35,8,6.4
Magdalena Contreras,35,8,5.3
Xochimilco,35,8,1.4
Gustavo A. Madero,35,8,6.1
Miguel Hidalgo,6,2,21.6
Gustavo A. Madero,6,2,9.2
Tlalpan,6,2,7.6
Cuauhtémoc,6,2,30.7
Tlalnepantla,6,2,13.9
Ecatepec,6,2,8.9
Cuajimalpa,6,2,9.4
Miguel Hidalgo,6,2,16.5
Nezahualcóyotl,6,2,26.7
Texcoco,6,2,2.6
Tlalpan,6,2,12.9
Tlalpan,6,2,14.1
Milpa Alta,6,2,15.8
Magdalena Contreras,6,2,6.4
Xochimilco,6,2,9.2
Gustavo A. Madero,6,2,22.9
Miguel Hidalgo,37,9,99.8
Gustavo A. Madero,37,9,28.2
Tlalpan,37,9,23.1
Cuauhtémoc,37,9,125.9
Tlalnepantla,37,9,40.9
Ecatepec,37,9,26.7
Cuajimalpa,37,9,61.1
Miguel Hidalgo,37,9,62.2
Nezahualcóyotl,37,9,9.9
Texcoco,37,9,13.6
Tlalpan,37,9,21.4
Tlalpan,37,9,38.4
Milpa Alta,37,9,24.8
Magdalena Contreras,37,9,30.8
Xochimilco,37,9,22.4
Gustavo A. Madero,37,9,27.9
Miguel Hidalgo,38,9,30
Gustavo A. Madero,38,9,58.6
Tlalpan,38,9,56.4
Cuauhtémoc,38,9,70.9
Tlalnepantla,38,9,10.9
Ecatepec,38,9,16.3
Cuajimalpa,38,9,53.3
Miguel Hidalgo,38,9,28.2
Nezahualcóyotl,38,9,21.6
Texcoco,38,9,8.7
Tlalpan,38,9,64.8
Tlalpan,38,9,52.5
Milpa Alta,38,9,9.8
Magdalena Contreras,38,9,74
Xochimilco,38,9,16.4
Gustavo A. Madero,38,9,42.2
Miguel Hidalgo,39,9,32.5
Gustavo A. Madero,39,9,36.1
Tlalpan,39,9,16.5
Cuauhtémoc,39,9,33.8
Tlalnepantla,39,9,7.6
Ecatepec,39,9,46
Cuajimalpa,39,9,45.8
Miguel Hidalgo,39,9,34.3
Nezahualcóyotl,39,9,27.4
Texcoco,39,9,34.3
Tlalpan,39,9,10.3
Tlalpan,39,9,48.7
Milpa Alta,39,9,47.9
Magdalena Contreras,39,9,21.7
Xochimilco,39,9,26.1
Gustavo A. Madero,39,9,20.3
Miguel Hidalgo,40,9,23.9
Gustavo A. Madero,40,9,3.3
Tlalpan,40,9,52.5
Cuauhtémoc,40,9,3
Tlalnepantla,40,9,2.6
Ecatepec,40,9,2.8
Cuajimalpa,40,9,73.3
Miguel Hidalgo,40,9,15.5
Tlalpan,40,9,51.3
Tlalpan,40,9,91.5
Milpa Alta,40,9,12.6
Magdalena Contreras,40,9,43
Xochimilco,40,9,1.5
Gustavo A. Madero,40,9,0.2
Gustavo A. Madero,28,7,12.6
Tlalpan,28,7,2.5
Cuauhtémoc,28,7,18.7
Tlalnepantla,28,7,3
Ecatepec,28,7,11.1
Cuajimalpa,28,7,15.6
Miguel Hidalgo,28,7,10.7
Nezahualcóyotl,28,7,7.1
Texcoco,28,7,8.9
Tlalpan,28,7,7
Milpa Alta,28,7,39.9
Magdalena Contreras,28,7,6.9
Xochimilco,28,7,15.1
Miguel Hidalgo,42,10,36.2
Gustavo A. Madero,42,10,15.7
Tlalpan,42,10,23
Cuauhtémoc,42,10,11.8
Ecatepec,42,10,12.2
Cuajimalpa,42,10,74
Miguel Hidalgo,42,10,20
Nezahualcóyotl,42,10,36.4
Texcoco,42,10,20.3
Tlalpan,42,10,37.6
Tlalpan,42,10,49.4
Milpa Alta,42,10,8
Magdalena Contreras,42,10,42.8
Xochimilco,42,10,2
Gustavo A. Madero,42,10,18.7
Miguel Hidalgo,43,10,56.1
Gustavo A. Madero,43,10,38.5
Tlalpan,43,10,63.8
Cuauhtémoc,43,10,55.6
Tlalnepantla,43,10,31.4
Ecatepec,43,10,30.2
Cuajimalpa,43,10,52.8
Miguel Hidalgo,43,10,57.7
Nezahualcóyotl,43,10,15.7
Texcoco,43,10,13.1
Tlalpan,43,10,57.5
