id,wkt_geom,nombre,linea,lon,lat,geopoint
0,PointZ (-99.18550899999999615 19.29940200000000061 0),Villa Olímpica,Línea 1,-99.185509,19.299402,"19.299402,-99.185509"
1,PointZ (-99.1874080000000049 19.31461499999999987 0),CCU,Línea 1,-99.187408,19.314615,"19.314615,-99.187408"
2,PointZ (-99.18626399999999421 19.35127400000000009 0),Altavista,Línea 1,-99.186264,19.351274,"19.351274,-99.186264"
3,PointZ (-99.17728400000000022 19.37932199999999838 0),Parque Hundido,Línea 1,-99.177284,19.379322,"19.379322,-99.177284"
4,PointZ (-99.17527800000002003 19.38550599999999946 0),Colonia del Valle,Línea 1,-99.17527800000002,19.385506,"19.385506,-99.175278"
5,PointZ (-99.17130299999999465 19.39787300000000059 0),La Piedad,Línea 1,-99.171303,19.397873,"19.397873,-99.171303"
6,PointZ (-99.16732000000000369 19.40969300000000075 0),Campeche,Línea 1,-99.16732,19.409693,"19.409693,-99.16732"
7,PointZ (-99.16624500000000353 19.41314300000000159 0),Sonora,Línea 1,-99.166245,19.413143,"19.413143,-99.166245"
8,PointZ (-99.16485600000000034 19.41686599999999885 0),Álvaro Obregón,Línea 1,-99.164856,19.416866,"19.416866,-99.164856"
9,PointZ (-99.16403999999999996 19.41990300000000147 0),Durango,Línea 1,-99.16404000000001,19.419903,"19.419903,-99.16404"
10,PointZ (-99.15554000000000201 19.440411000000001 0),Revolución,Línea 1,-99.15554,19.440411,"19.440411,-99.15554"
11,PointZ (-99.15303000000000111 19.44695700000000116 0),Buenavista. Línea 1.,Línea 1,-99.15303,19.446957,"19.446957,-99.15303"
12,PointZ (-99.1324769999999944 19.47661599999999993 0),Potrero,Línea 1,-99.132477,19.476616,"19.476616,-99.132477"
13,PointZ (-99.1696240000000131 19.40354900000000171 0),Nuevo León,Línea 2,-99.169624,19.403549,"19.403549,-99.169624"
14,PointZ (-99.16814399999999807 19.40144300000000044 0),Viaducto,Línea 2,-99.168144,19.401443,"19.401443,-99.168144"
15,PointZ (-99.14641599999998789 19.39520800000000023 0),Centro SCOP,Línea 2,-99.14641599999999,19.395208,"19.395208,-99.146416"
16,PointZ (-99.13999200000000656 19.3942389999999989 0),Xola,Línea 2,-99.139992,19.394239,"19.394239,-99.139992"
17,PointZ (-99.13484200000000612 19.39348000000000027 0),Las Américas,Línea 2,-99.134842,19.39348,"19.39348,-99.134842"
18,PointZ (-99.10945100000000707 19.39782699999999949 0),Canela,Línea 2,-99.109451,19.397827,"19.397827,-99.109451"
19,PointZ (-99.10352299999999559 19.39719600000000099 0),Tlacotal,Línea 2,-99.103523,19.397196,"19.397196,-99.103523"
20,PointZ (-99.09038499999999772 19.39391499999999979 0),UPIICSA,Línea 2,-99.090385,19.393915,"19.393915,-99.090385"
21,PointZ (-99.07608000000000459 19.38421999999999912 0),Rojo Gomez,Línea 2,-99.07608,19.38422,"19.38422,-99.07608"
22,PointZ (-99.15567000000000064 19.40102999999999867 0),Obrero Mundial,Línea 3,-99.15567,19.40103,"19.40103,-99.15567"
23,PointZ (-99.1552120000000059 19.40665800000000019 0),Centro Médico,Línea 3,-99.155212,19.406658,"19.406658,-99.155212"
24,PointZ (-99.15464799999999457 19.41433899999999824 0),Hospital General,Línea 3,-99.154648,19.414339,"19.414339,-99.154648"
25,PointZ (-99.14588200000000029 19.45192300000000074 0),Ricardo Flores Magón,Línea 3,-99.145882,19.451923,"19.451923,-99.145882"
26,PointZ (-99.1443790000000007 19.4588220000000014 0),Tolnahuac,Línea 3,-99.144379,19.458822,"19.458822,-99.144379"
27,PointZ (-99.14941399999999305 19.48272499999999852 0),Magdalena La Salinas,Línea 3,-99.149414,19.482725,"19.482725,-99.149414"
28,PointZ (-99.15178700000001299 19.48911899999999875 0),Poniente 128,Línea 3,-99.151787,19.489119,"19.489119,-99.151787"
29,PointZ (-99.16181900000000837 19.51513500000000079 0),Tres Anegas,Línea 3,-99.161819,19.515135,"19.515135,-99.161819"
30,PointZ (-99.15345800000000054 19.4386410000000005 0),Puente de Alvarado,Línea 4,-99.153458,19.438641,"19.438641,-99.153458"
31,PointZ (-99.15398399999999413 19.43712800000000129 0),Plaza de la República,Línea 4,-99.153984,19.437128,"19.437128,-99.153984"
32,PointZ (-99.1535339999999934 19.43415800000000004 0),Glorieta de Colón,Línea 4,-99.153534,19.434158,"19.434158,-99.153534"
33,PointZ (-99.15095499999999618 19.431754999999999 0),Vocacional 5,Línea 4,-99.150955,19.431755,"19.431755,-99.150955"
34,PointZ (-99.14193000000000211 19.43033399999999844 0),Eje Central_Metrobús_Línea 4,Línea 4,-99.14193,19.430334,"19.430334,-99.14193"
35,PointZ (-99.13700900000000615 19.42961700000000036 0),Isabel La Católica,Línea 4,-99.137009,19.429617,"19.429617,-99.137009"
36,PointZ (-99.13658899999998653 19.42969099999999827 0),Isabel La Católica,Línea 4,-99.13658899999999,19.429691,"19.429691,-99.136589"
37,PointZ (-99.13278200000000595 19.42666099999999929 0),Pino Suárez,Línea 4,-99.132782,19.426661,"19.426661,-99.132782"
38,PointZ (-99.125945999999999 19.42544699999999835 0),La Merced,Línea 4,-99.12594600000001,19.425447,"19.425447,-99.125946"
39,PointZ (-99.12081100000001754 19.43614200000000025 0),Ferrocarril de Cintura,Línea 4,-99.120811,19.436142,"19.436142,-99.120811"
40,PointZ (-99.12341299999999933 19.43635700000000099 0),Mixcalco,Línea 4,-99.12341300000001,19.436357,"19.436357,-99.123413"
41,PointZ (-99.1270449999999812 19.43684999999999974 0),Teatro del Pueblo,Línea 4,-99.12704499999998,19.43685,"19.43685,-99.127045"
42,PointZ (-99.13199600000000089 19.43740700000000032 0),República de Argentina,Línea 4,-99.131996,19.437407,"19.437407,-99.131996"
43,PointZ (-99.13502499999999884 19.43788299999999936 0),República de Chile,Línea 4,-99.135025,19.437883,"19.437883,-99.135025"
44,PointZ (-99.1461490000000083 19.43729799999999841 0),Hidalgo. Línea 4,Línea 4,-99.146149,19.437298,"19.437298,-99.146149"
45,PointZ (-99.1462099999999964 19.4372809999999987 0),Hidalgo. Línea 4,Línea 4,-99.14621,19.437281,"19.437281,-99.14621"
46,PointZ (-99.15077999999999747 19.43827399999999983 0),Museo San Carlos,Línea 4,-99.15078,19.438274,"19.438274,-99.15078"
47,PointZ (-99.09738900000002104 19.48021699999999967 0),San Juan de Aragón,Línea 5,-99.09738900000002,19.480217,"19.480217,-99.097389"
48,PointZ (-99.10124199999998496 19.47100299999999962 0),Talismán,Línea 5,-99.10124199999998,19.471003,"19.471003,-99.101242"
49,PointZ (-99.10679600000000278 19.45778100000000066 0),Santa Coleta,Línea 5,-99.106796,19.457781,"19.457781,-99.106796"
50,PointZ (-99.11517300000001285 19.43236699999999928 0),Terminal. San Lázaro. Línea 5,Línea 5,-99.115173,19.432367,"19.432367,-99.115173"
51,PointZ (-99.0755709999999965 19.46687599999999918 0),482,Línea 6,-99.075571,19.466876,"19.466876,-99.075571"
52,PointZ (-99.08866500000000599 19.47463899999999981 0),Casas Alemán,Línea 6,-99.088665,19.474639,"19.474639,-99.088665"
53,PointZ (-99.10167400000000271 19.48053600000000074 0),Hospital General La Villa,Línea 6,-99.101674,19.480536,"19.480536,-99.101674"
54,PointZ (-99.11333600000001809 19.48407600000000173 0),Delegación Gustavo A. Madero,Línea 6,-99.113336,19.484076,"19.484076,-99.113336"
55,PointZ (-99.11423200000000122 19.48783799999999999 0),Hospital Infantil La Villa,Línea 6,-99.114232,19.487838,"19.487838,-99.114232"
56,PointZ (-99.12284200000000567 19.48679699999999926 0),Deportivo 18 de Marzo,Línea 6,-99.122842,19.486797,"19.486797,-99.122842"
57,PointZ (-99.13871000000000322 19.4918590000000016 0),San Bartolo,Línea 6,-99.13871,19.491859,"19.491859,-99.13871"
58,PointZ (-99.15004999999999313 19.49423600000000079 0),Lindavista-Vallejo,Línea 6,-99.15005,19.494236,"19.494236,-99.15005"
59,PointZ (-99.15383800000000747 19.49506999999999834 0),Montevideo,Línea 6,-99.153838,19.49507,"19.49507,-99.153838"
60,PointZ (-99.18357199999999807 19.50394500000000164 0),UAM Azcapotzalco,Línea 6,-99.183572,19.503945,"19.503945,-99.183572"
61,PointZ (-99.17009699999999839 19.28035900000000069 0),La Joya,Línea 1,-99.170097,19.280359,"19.280359,-99.170097"
62,PointZ (-99.1755979999999937 19.28376400000000146 0),Santa Úrsula,Línea 1,-99.175598,19.283764,"19.283764,-99.175598"
63,PointZ (-99.17739899999999409 19.29250100000000145 0),Ayuntamiento,Línea 1,-99.177399,19.292501,"19.292501,-99.177399"
64,PointZ (-99.18125200000000063 19.29414600000000135 0),Corregidora,Línea 1,-99.181252,19.294146,"19.294146,-99.181252"
65,PointZ (-99.18606599999999673 19.30446799999999996 0),Perisur,Línea 1,-99.186066,19.304468,"19.304468,-99.186066"
66,PointZ (-99.18527199999999766 19.35471499999999878 0),Olivo,Línea 1,-99.185272,19.354715,"19.354715,-99.185272"
67,PointZ (-99.18174700000001565 19.36501099999999909 0),Teatro de los Insurgentes,Línea 1,-99.181747,19.365011,"19.365011,-99.181747"
68,PointZ (-99.1787570000000045 19.37429200000000051 0),Felix Cuevas,Línea 1,-99.178757,19.374292,"19.374292,-99.178757"
69,PointZ (-99.17368299999999692 19.38985800000000026 0),Nápoles,Línea 1,-99.173683,19.389858,"19.389858,-99.173683"
70,PointZ (-99.1724619999999959 19.39362300000000161 0),Poliforum,Línea 1,-99.172462,19.393623,"19.393623,-99.172462"
71,PointZ (-99.1632539999999949 19.42410699999999935 0),Glorieta Insurgentes,Línea 1,-99.163254,19.424107,"19.424107,-99.163254"
72,PointZ (-99.16240699999998753 19.42337200000000053 0),Glorieta Insurgentes,Línea 1,-99.16240699999999,19.423372,"19.423372,-99.162407"
73,PointZ (-99.14651499999999373 19.45966299999999904 0),San Simón,Línea 1,-99.146515,19.459663,"19.459663,-99.146515"
74,PointZ (-99.14403500000001657 19.46244400000000141 0),Circuito,Línea 1,-99.144035,19.462444,"19.462444,-99.144035"
75,PointZ (-99.13880199999999832 19.46883800000000164 0),La Raza. Línea 1.,Línea 1,-99.138802,19.468838,"19.468838,-99.138802"
76,PointZ (-99.12432900000000302 19.4863660000000003 0),Deportivo 18 de Marzo,Línea 1,-99.124329,19.486366,"19.486366,-99.124329"
77,PointZ (-99.11972799999999495 19.49678400000000167 0),Indios Verdes,Línea 1,-99.119728,19.496784,"19.496784,-99.119728"
78,PointZ (-99.18937699999997903 19.40774199999999894 0),Parque Lira,Línea 2,-99.18937699999998,19.407742,"19.407742,-99.189377"
79,PointZ (-99.18586000000001945 19.4049359999999993 0),Antonio Maceo,Línea 2,-99.18586000000002,19.404936,"19.404936,-99.18586"
80,PointZ (-99.17758200000000102 19.40558599999999956 0),Patriotismo,Línea 2,-99.177582,19.405586,"19.405586,-99.177582"
81,PointZ (-99.15135200000000282 19.39554400000000101 0),Doctor Vértiz,Línea 2,-99.151352,19.395544,"19.395544,-99.151352"
82,PointZ (-99.12914299999999912 19.39783299999999855 0),Andrés Molina,Línea 2,-99.12914300000001,19.397833,"19.397833,-99.129143"
83,PointZ (-99.12409999999999854 19.39805399999999835 0),La Viga,Línea 2,-99.1241,19.398054,"19.398054,-99.1241"
84,PointZ (-99.11701999999999657 19.39826800000000162 0),Coyuya,Línea 2,-99.11702,19.398268,"19.398268,-99.11702"
85,PointZ (-99.08746299999999962 19.39187199999999933 0),El Rodeo,Línea 2,-99.08746300000001,19.391872,"19.391872,-99.087463"
86,PointZ (-99.08026099999997882 19.38710599999999928 0),Río Mayo,Línea 2,-99.08026099999996,19.387106,"19.387106,-99.080261"
87,PointZ (-99.07088500000000408 19.3842010000000009 0),Del Moral,Línea 2,-99.070885,19.384201,"19.384201,-99.070885"
88,PointZ (-99.06593299999998692 19.38340200000000024 0),Leyes de Reforma,Línea 2,-99.06593299999999,19.383402,"19.383402,-99.065933"
89,PointZ (-99.06069200000000308 19.38284499999999966 0),CCH Oriente,Línea 2,-99.060692,19.382845,"19.382845,-99.060692"
90,PointZ (-99.05986799999999448 19.3892099999999985 0),Constitución de Apatzingán,Línea 2,-99.059868,19.38921,"19.38921,-99.059868"
91,PointZ (-99.05601500000000215 19.39645600000000059 0),Canal de San Juan,Línea 2,-99.056015,19.396456,"19.396456,-99.056015"
92,PointZ (-99.0513080000000059 19.39372399999999885 0),Nicolás Bravo,Línea 2,-99.051308,19.393724,"19.393724,-99.051308"
93,PointZ (-99.04741699999998161 19.39070900000000108 0),Tepalcates,Línea 2,-99.04741699999998,19.390709,"19.390709,-99.047417"
94,PointZ (-99.08300800000002084 19.38891800000000032 0),Río Tecolutla,Línea 2,-99.08300800000002,19.388918,"19.388918,-99.083008"
95,PointZ (-99.15485400000000027 19.41137099999999904 0),Dr. Márquez,Línea 3,-99.154854,19.411371,"19.411371,-99.154854"
96,PointZ (-99.15416700000000105 19.42037799999999947 0),Jardín Pushkin,Línea 3,-99.154167,19.420378,"19.420378,-99.154167"
97,PointZ (-99.15382400000000018 19.42482899999999901 0),Cuauhtémoc,Línea 3,-99.153824,19.424829,"19.424829,-99.153824"
98,PointZ (-99.14881900000000314 19.4277249999999988 0),Balderas,Línea 3,-99.148819,19.427725,"19.427725,-99.148819"
99,PointZ (-99.14727799999998581 19.44573199999999957 0),Guerrero,Línea 3,-99.14727799999999,19.445732,"19.445732,-99.147278"
100,PointZ (-99.14504199999998946 19.45584900000000061 0),Tlatelolco,Línea 3,-99.145042,19.455849,"19.455849,-99.145042"
101,PointZ (-99.144172999999995 19.46336900000000014 0),Circuito. Línea 3,Línea 3,-99.144173,19.463369,"19.463369,-99.144173"
102,PointZ (-99.14376799999999434 19.46767399999999881 0),Hospital La Raza,Línea 3,-99.143768,19.467674,"19.467674,-99.143768"
103,PointZ (-99.14083099999999149 19.46757300000000157 0),La Raza,Línea 3,-99.140831,19.467573,"19.467573,-99.140831"
104,PointZ (-99.14816999999999325 19.47932600000000036 0),Coltongo,Línea 3,-99.14817,19.479326,"19.479326,-99.14817"
105,PointZ (-99.15303000000000111 19.49228499999999897 0),Poniente 134,Línea 3,-99.15303,19.492285,"19.492285,-99.15303"
106,PointZ (-99.15914200000000278 19.50832400000000177 0),Júpiter,Línea 3,-99.159142,19.508324,"19.508324,-99.159142"
107,PointZ (-99.15572400000002062 19.49952499999999844 0),Poniente 146,Línea 3,-99.15572400000002,19.499525,"19.499525,-99.155724"
108,PointZ (-99.07724799999998311 19.42147599999999841 0),Terminal 2 - Aeropuerto,Línea 4,-99.07724799999998,19.421476,"19.421476,-99.077248"
109,PointZ (-99.15241199999999822 19.44259500000000074 0),Delegación Cuauhtémoc,Línea 4,-99.152412,19.442595,"19.442595,-99.152412"
110,PointZ (-99.1532669999999996 19.43902599999999836 0),Puente de Alvarado,Línea 4,-99.15326700000001,19.439026,"19.439026,-99.153267"
111,PointZ (-99.15337399999999946 19.43501499999999993 0),Glorieta de Colón,Línea 4,-99.15337400000001,19.435015,"19.435015,-99.153374"
112,PointZ (-99.15062699999998586 19.43310500000000118 0),Expo Reforma,Línea 4,-99.15062699999999,19.433105,"19.433105,-99.150627"
113,PointZ (-99.15021499999998866 19.43158899999999889 0),Vocacional 5,Línea 4,-99.150215,19.431589,"19.431589,-99.150215"
114,PointZ (-99.14838399999999297 19.43130499999999827 0),Juárez_Metrobús_Línea 4,Línea 4,-99.148384,19.431305,"19.431305,-99.148384"
115,PointZ (-99.1477429999999913 19.43125900000000073 0),Juárez_Metrobús_Línea 4,Línea 4,-99.147743,19.431259,"19.431259,-99.147743"
116,PointZ (-99.14465300000000525 19.43077299999999852 0),Plaza San Juan,Línea 4,-99.144653,19.430773,"19.430773,-99.144653"
